sujet;Genre;bue_A_crue_A;bue_A_crue_F;bue_A_crue_I;bue_F_crue_A;bue_F_crue_F;bue_F_crue_I;bue_I_crue_A;bue_I_crue_F;bue_I_crue_I
1;H;1;4;9;5;5;10;4;5;7
2;F;4;6;8;7;3;8;2;5;8
3;H;4;5;8;3;4;9;2;3;7
4;F;4;5;9;3;6;9;2;7;7
5;H;3;5;9;2;4;10;2;5;9
6;F;4;4;8;0;7;8;2;5;7
7;H;3;5;11;1;1;9;1;6;10
8;F;2;5;9;2;4;9;6;5;7
9;H;3;3;8;3;7;6;3;5;8
10;F;5;5;9;0;5;10;4;5;10
11;H;2;4;8;2;7;6;3;5;8
12;F;1;6;9;0;6;7;1;6;9
13;H;1;6;6;2;8;8;2;8;7
14;F;2;6;11;0;7;8;2;2;8
15;H;3;5;9;0;5;7;4;3;8
16;F;3;5;9;3;4;8;5;5;10
17;H;5;4;8;2;6;9;1;6;9
18;F;2;5;8;2;4;6;1;5;9
19;H;0;4;5;0;7;7;4;7;9
20;F;3;4;6;2;6;7;3;6;8
21;H;4;5;6;1;5;7;1;8;10
22;F;5;6;9;1;7;9;4;6;9
23;H;5;5;7;3;5;7;0;6;10
24;F;3;6;8;3;5;9;0;5;11
25;H;1;8;11;2;3;7;4;5;9
26;F;3;4;7;2;6;9;4;5;7
27;H;5;7;9;3;6;10;4;7;7
28;F;1;5;9;3;6;8;5;5;9
29;H;0;6;9;2;6;8;1;6;9
30;F;0;6;7;3;4;8;0;5;6
31;H;2;6;9;6;3;10;4;6;12
32;F;3;6;11;2;6;8;1;7;8
33;H;2;6;6;5;4;10;2;5;10
34;F;5;7;9;2;8;8;4;7;8
35;H;2;6;9;0;6;9;2;4;9
36;F;4;4;8;4;5;7;1;5;9
37;H;3;3;7;2;5;11;0;7;9
38;F;0;5;8;1;7;12;2;6;8
39;H;1;6;10;1;5;11;6;5;8
40;F;5;3;8;2;5;12;2;5;9
41;H;3;6;11;0;5;8;2;6;9
42;F;6;4;9;0;4;8;5;2;8
43;H;2;7;10;4;3;12;0;5;10
44;F;2;3;8;1;4;9;2;5;10
45;H;2;6;7;4;5;8;3;7;7
46;F;3;6;11;2;6;9;1;7;8
47;H;3;6;8;2;7;7;4;5;8
48;F;0;4;10;5;5;10;4;5;8
49;H;1;5;11;5;4;9;2;6;9
50;F;5;7;9;1;6;8;5;7;9
51;H;4;6;6;2;4;10;2;5;9
52;F;0;4;8;2;5;8;3;7;7
53;H;2;4;7;4;4;8;3;5;9
54;F;1;6;9;3;6;11;5;8;11
55;H;3;4;9;2;6;10;3;9;9
56;F;1;4;8;0;5;10;5;5;6
57;H;3;7;9;4;4;8;1;6;8
58;F;1;3;7;2;5;7;6;3;8
59;H;2;6;8;2;7;8;4;7;8
60;F;3;5;9;3;5;9;4;6;10
61;H;4;6;10;0;4;8;1;6;7
62;F;3;5;7;6;6;7;4;4;8
63;H;3;4;7;1;7;6;1;3;8
64;F;3;5;10;2;3;7;2;7;8
65;H;3;6;8;3;7;7;3;8;8
66;F;3;5;9;2;6;6;2;6;9
67;H;6;7;8;4;6;8;3;7;6
68;F;3;3;9;1;6;8;1;6;10
69;H;2;5;7;4;7;8;2;7;8
70;F;1;4;9;1;4;9;2;2;5
71;H;0;4;7;4;5;10;3;3;9
72;F;3;6;9;2;2;7;5;5;7
73;H;1;6;10;4;4;10;3;5;7
74;F;4;5;8;0;7;7;3;6;5
75;H;2;8;7;3;4;9;2;4;8
76;F;3;3;11;0;5;10;1;6;9
77;H;0;10;7;3;4;8;5;7;10
78;F;3;7;10;2;8;8;1;5;6
79;H;2;6;10;2;4;7;4;5;8
80;F;2;4;8;4;5;9;3;5;7
81;H;1;7;8;3;2;10;4;6;9
82;F;3;7;9;3;7;10;2;6;9
83;H;0;4;8;3;7;9;0;3;6
84;F;0;7;9;3;2;10;2;4;9
85;H;3;6;10;2;7;6;2;8;8
86;F;3;7;8;1;6;9;0;5;9
87;H;1;4;7;5;2;12;3;6;8
88;F;4;3;7;1;7;7;3;6;7
89;H;4;4;8;2;7;10;4;5;8
90;F;3;6;10;2;7;7;2;5;8
91;H;1;6;9;2;4;7;3;6;8
92;F;0;8;8;1;2;7;1;4;7
93;H;2;5;10;2;3;9;0;5;9
94;F;0;6;8;4;4;8;3;6;13
95;H;3;6;11;6;5;5;2;6;7
96;F;2;4;9;2;4;8;4;6;8
97;H;3;6;10;5;3;6;2;6;7
98;F;4;7;7;5;7;9;0;7;10
99;H;4;7;12;3;6;9;2;4;8
100;F;3;5;6;2;7;9;2;4;7
101;H;5;7;10;2;5;5;4;5;10
102;F;3;6;10;3;5;9;2;5;10
103;H;3;3;7;2;5;6;3;4;8
104;F;1;4;8;2;5;7;3;2;10
105;H;3;2;7;1;4;8;4;8;8
106;F;4;6;6;1;7;6;1;7;10
107;H;2;8;8;4;6;7;2;5;10
108;F;2;7;11;1;4;7;0;3;9
109;H;3;5;6;3;5;8;1;5;10
110;F;2;7;10;4;6;5;2;6;8
111;H;2;7;7;6;5;9;2;6;10
112;F;2;6;10;3;7;9;3;4;7
113;H;5;5;9;3;4;8;4;5;9
114;F;3;6;5;3;4;7;1;4;9
115;H;1;5;11;5;7;10;1;7;9
116;F;2;4;10;2;8;7;2;6;7
117;H;1;3;9;5;8;11;1;7;8
118;F;1;7;9;1;8;9;4;5;6
119;H;1;5;9;2;5;8;3;6;7
120;F;3;5;6;0;5;6;0;7;7
121;H;1;4;6;3;5;9;2;6;10
122;F;1;6;9;1;7;8;4;5;9
123;H;3;6;9;1;4;13;2;8;10
124;F;3;6;8;6;6;6;3;5;7
125;H;1;3;10;3;7;11;3;7;9
126;F;2;7;8;2;4;9;3;6;9
127;H;0;7;7;0;7;9;3;6;9
128;F;3;9;8;3;3;11;4;5;8
129;H;1;4;9;3;6;9;3;5;9
130;F;4;6;6;1;7;9;2;5;6
131;H;6;7;8;2;5;7;3;8;6
132;F;4;5;8;6;3;11;3;5;8
133;H;0;6;11;3;4;10;3;5;7
134;F;0;8;9;5;6;8;5;6;5
135;H;4;6;9;2;7;7;1;4;9
136;F;4;4;11;1;6;11;3;7;9
137;H;2;5;9;1;6;9;3;6;8
138;F;5;7;8;2;6;8;2;4;7
139;H;3;5;7;3;6;8;1;6;9
140;F;0;7;9;1;8;9;3;5;11
141;H;5;3;8;4;5;6;2;5;9
142;F;5;6;6;3;6;10;3;3;8
143;H;3;4;10;0;6;8;4;7;8
144;F;0;3;8;4;6;6;4;3;9
145;H;2;3;8;2;7;10;4;6;10
146;F;5;5;7;3;3;5;0;6;8
147;H;1;4;9;2;6;10;1;6;8
148;F;3;5;10;-1;5;12;1;5;10
149;H;5;7;9;2;4;8;2;5;10
150;F;2;6;5;3;6;10;2;7;6
151;H;3;4;7;3;2;5;3;5;11
152;F;1;6;6;3;5;9;4;6;6
153;H;1;4;9;4;8;7;0;7;9
154;F;1;8;8;2;5;12;4;4;8
155;H;5;6;8;4;3;7;3;5;9
156;F;1;8;11;1;5;9;2;8;6
157;H;4;4;9;2;7;7;4;4;7
158;F;1;5;9;3;4;11;1;5;7
159;H;1;5;9;4;10;11;2;7;7
160;F;1;6;8;4;9;8;2;6;10
161;H;4;3;9;2;7;7;2;5;10
162;F;3;8;10;3;8;7;3;6;8
163;H;0;3;10;0;6;8;1;8;9
164;F;0;7;7;3;6;9;3;5;9
165;H;4;5;8;1;6;10;1;6;8
