sujet;Genre;QAE;QE
1;H;0;2
2;F;1;3
3;H;2;9
4;F;0;3
5;H;1;6
6;F;2;10
7;H;0;3
8;F;1;4
9;H;2;6
10;F;0;6
11;H;1;6
12;F;2;11
13;H;0;1
14;F;1;6
15;H;2;10
16;F;0;2
17;H;1;7
18;F;2;8
19;H;0;0
20;F;1;5
21;H;2;11
22;F;0;4
23;H;1;6
24;F;2;8
25;H;0;4
26;F;1;4
27;H;2;10
28;F;0;3
29;H;1;2
30;F;2;7
31;H;0;1
32;F;1;3
33;H;2;10
34;F;0;2
35;H;1;2
36;F;2;10
37;H;0;3
38;F;1;6
39;H;2;9
40;F;0;2
41;H;1;5
42;F;2;10
43;H;0;5
44;F;1;6
45;H;2;8
46;F;0;3
47;H;1;7
48;F;2;9
49;H;0;4
50;F;1;3
51;H;2;8
52;F;0;2
53;H;1;6
54;F;2;8
55;H;0;1
56;F;1;5
57;H;2;8
58;F;0;3
59;H;1;5
60;F;2;8
61;H;0;1
62;F;1;6
63;H;2;9
64;F;0;1
65;H;1;3
66;F;2;8
67;H;0;5
68;F;1;5
69;H;2;6
70;F;0;1
71;H;1;2
72;F;2;7
73;H;0;1
74;F;1;5
75;H;2;11
76;F;0;3
77;H;1;7
78;F;2;8
79;H;0;3
80;F;1;6
81;H;2;10
82;F;0;3
83;H;1;5
84;F;2;8
85;H;0;4
86;F;1;6
87;H;2;7
88;F;0;4
89;H;1;5
90;F;2;8
91;H;0;4
92;F;1;4
93;H;2;10
94;F;0;3
95;H;1;4
96;F;2;8
97;H;0;5
98;F;1;3
99;H;2;8
100;F;0;1
101;H;1;7
102;F;2;8
103;H;0;1
104;F;1;9
105;H;2;8
106;F;0;3
107;H;1;5
108;F;2;7
109;H;0;4
110;F;1;4
111;H;2;10
112;F;0;3
113;H;1;2
114;F;2;8
115;H;0;2
116;F;1;7
117;H;2;9
118;F;0;1
119;H;1;7
120;F;2;10
121;H;0;1
122;F;1;6
123;H;2;12
124;F;0;4
125;H;1;4
126;F;2;9
127;H;0;4
128;F;1;5
129;H;2;9
130;F;0;2
131;H;1;7
132;F;2;7
133;H;0;2
134;F;1;6
135;H;2;7
136;F;0;2
137;H;1;5
138;F;2;11
139;H;0;0
140;F;1;4
141;H;2;9
142;F;0;3
143;H;1;4
144;F;2;7
145;H;0;4
146;F;1;4
147;H;2;8
148;F;0;4
149;H;1;6
150;F;2;7
151;H;0;0
152;F;1;6
153;H;2;8
154;F;0;3
155;H;1;7
156;F;2;5
157;H;0;0
158;F;1;7
159;H;2;8
160;F;0;2
161;H;1;5
162;F;2;7
163;H;0;4
164;F;1;5
165;H;2;10
