sujet;Genre;QAB;QAE;QE
1;H;0;0;3
2;F;0;1;6
3;H;0;2;9
4;F;1;0;5
5;H;1;1;6
6;F;1;2;8
7;H;2;0;4
8;F;2;1;4
9;H;2;2;9
10;F;0;0;4
11;H;0;1;4
12;F;0;2;8
13;H;1;0;0
14;F;1;1;5
15;H;1;2;10
16;F;2;0;1
17;H;2;1;10
18;F;2;2;7
19;H;0;0;3
20;F;0;1;4
21;H;0;2;8
22;F;1;0;2
23;H;1;1;6
24;F;1;2;6
25;H;2;0;5
26;F;2;1;7
27;H;2;2;10
28;F;0;0;3
29;H;0;1;5
30;F;0;2;8
31;H;1;0;1
32;F;1;1;3
33;H;1;2;9
34;F;2;0;0
35;H;2;1;7
36;F;2;2;11
37;H;0;0;4
38;F;0;1;6
39;H;0;2;8
40;F;1;0;4
41;H;1;1;5
42;F;1;2;10
43;H;2;0;3
44;F;2;1;5
45;H;2;2;8
46;F;0;0;4
47;H;0;1;8
48;F;0;2;9
49;H;1;0;4
50;F;1;1;6
51;H;1;2;6
52;F;2;0;1
53;H;2;1;6
54;F;2;2;7
55;H;0;0;5
56;F;0;1;8
57;H;0;2;10
58;F;1;0;4
59;H;1;1;6
60;F;1;2;10
61;H;2;0;4
62;F;2;1;5
63;H;2;2;9
64;F;0;0;3
65;H;0;1;7
66;F;0;2;9
67;H;1;0;3
68;F;1;1;5
69;H;1;2;9
70;F;2;0;5
71;H;2;1;6
72;F;2;2;5
73;H;0;0;3
74;F;0;1;6
75;H;0;2;8
76;F;1;0;2
77;H;1;1;4
78;F;1;2;9
79;H;2;0;2
80;F;2;1;9
81;H;2;2;6
82;F;0;0;3
83;H;0;1;7
84;F;0;2;10
85;H;1;0;3
86;F;1;1;4
87;H;1;2;9
88;F;2;0;2
89;H;2;1;6
90;F;2;2;9
91;H;0;0;4
92;F;0;1;5
93;H;0;2;7
94;F;1;0;1
95;H;1;1;6
96;F;1;2;8
97;H;2;0;1
98;F;2;1;6
99;H;2;2;8
100;F;0;0;2
101;H;0;1;4
102;F;0;2;9
103;H;1;0;2
104;F;1;1;7
105;H;1;2;9
106;F;2;0;3
107;H;2;1;6
108;F;2;2;10
109;H;0;0;2
110;F;0;1;5
111;H;0;2;8
112;F;1;0;1
113;H;1;1;6
114;F;1;2;7
115;H;2;0;3
116;F;2;1;6
117;H;2;2;10
118;F;0;0;2
119;H;0;1;4
120;F;0;2;9
121;H;1;0;4
122;F;1;1;7
123;H;1;2;11
124;F;2;0;1
125;H;2;1;4
126;F;2;2;10
127;H;0;0;3
128;F;0;1;7
129;H;0;2;7
130;F;1;0;1
131;H;1;1;8
132;F;1;2;10
133;H;2;0;1
134;F;2;1;9
135;H;2;2;9
136;F;0;0;4
137;H;0;1;4
138;F;0;2;10
139;H;1;0;5
140;F;1;1;8
141;H;1;2;8
142;F;2;0;4
143;H;2;1;4
144;F;2;2;9
145;H;0;0;4
146;F;0;1;7
147;H;0;2;8
148;F;1;0;0
149;H;1;1;5
150;F;1;2;10
151;H;2;0;4
152;F;2;1;5
153;H;2;2;9
154;F;0;0;5
155;H;0;1;5
156;F;0;2;8
157;H;1;0;4
158;F;1;1;5
159;H;1;2;7
160;F;2;0;2
161;H;2;1;5
162;F;2;2;6
163;H;0;0;2
164;F;0;1;5
165;H;0;2;8
